id,question,category,tags
56,What should I know about ACETAMINOPHEN before taking it?,General,acetaminophen;fda;label
57,What should I know about ACETAMINOPHEN before taking it?,General,acetaminophen;fda;label
58,What should I know about ACETAMINOPHEN before taking it?,General,acetaminophen;fda;label
59,What should I know about ACETAMINOPHEN before taking it?,General,acetaminophen;fda;label
60,What should I know about ACETAMINOPHEN before taking it?,General,acetaminophen;fda;label
61,What are the warnings for SALICYLIC ACID?,Warnings,salicylic acid;fda;label;warnings
62,Should I avoid SALICYLIC ACID if I have certain conditions?,Warnings,salicylic acid;fda;label;warnings;contraindications
63,How should I take SALICYLIC ACID?,Dosage,salicylic acid;fda;label;dosage
64,What is the recommended dose of SALICYLIC ACID?,Dosage,salicylic acid;fda;label;dosage
65,Can I take SALICYLIC ACID with food?,Dosage,salicylic acid;fda;label;dosage;food
66,What are the side effects of SALICYLIC ACID?,Adverse Reactions,salicylic acid;fda;label;side effects
67,Does SALICYLIC ACID cause drowsiness?,Adverse Reactions,salicylic acid;fda;label;drowsiness
68,Can I take SALICYLIC ACID with alcohol?,Drug Interactions,salicylic acid;fda;label;alcohol;interactions
69,Can I take SALICYLIC ACID with my other prescriptions?,Drug Interactions,salicylic acid;fda;label;interactions
70,How do I store SALICYLIC ACID?,Storage,salicylic acid;fda;label;storage
71,What if I miss a dose of SALICYLIC ACID?,Dosage,salicylic acid;fda;label;missed dose
72,Is SALICYLIC ACID safe for children?,Children,salicylic acid;fda;label;children;pediatric
73,Can I take SALICYLIC ACID if I have kidney disease?,Special Populations,salicylic acid;fda;label;kidney
74,Can I take SALICYLIC ACID if I have liver disease?,Special Populations,salicylic acid;fda;label;liver
75,Does SALICYLIC ACID expire? How long can I keep it?,Storage,salicylic acid;fda;label;expiration
76,What should I do if I take too much SALICYLIC ACID?,Overdose,salicylic acid;fda;label;overdose
77,What should I know about SALICYLIC ACID before taking it?,General,salicylic acid;fda;label
78,What should I know about SALICYLIC ACID before taking it?,General,salicylic acid;fda;label
79,What should I know about SALICYLIC ACID before taking it?,General,salicylic acid;fda;label
80,What should I know about SALICYLIC ACID before taking it?,General,salicylic acid;fda;label
81,What are the warnings for IBUPROFEN?,Warnings,ibuprofen;fda;label;warnings
82,Should I avoid IBUPROFEN if I have certain conditions?,Warnings,ibuprofen;fda;label;warnings;contraindications
83,How should I take IBUPROFEN?,Dosage,ibuprofen;fda;label;dosage
84,What is the recommended dose of IBUPROFEN?,Dosage,ibuprofen;fda;label;dosage
85,Can I take IBUPROFEN with food?,Dosage,ibuprofen;fda;label;dosage;food
86,Is IBUPROFEN safe during pregnancy?,Pregnancy,ibuprofen;fda;label;pregnancy
87,Can I take IBUPROFEN with alcohol?,Drug Interactions,ibuprofen;fda;label;alcohol;interactions
88,Can I take IBUPROFEN with my other prescriptions?,Drug Interactions,ibuprofen;fda;label;interactions
89,How do I store IBUPROFEN?,Storage,ibuprofen;fda;label;storage
90,What if I miss a dose of IBUPROFEN?,Dosage,ibuprofen;fda;label;missed dose
91,Is IBUPROFEN safe for children?,Children,ibuprofen;fda;label;children;pediatric
92,Can I take IBUPROFEN if I have kidney disease?,Special Populations,ibuprofen;fda;label;kidney
93,Can I take IBUPROFEN if I have liver disease?,Special Populations,ibuprofen;fda;label;liver
94,Does IBUPROFEN expire? How long can I keep it?,Storage,ibuprofen;fda;label;expiration
95,What should I do if I take too much IBUPROFEN?,Overdose,ibuprofen;fda;label;overdose
96,What should I know about IBUPROFEN before taking it?,General,ibuprofen;fda;label
97,What should I know about IBUPROFEN before taking it?,General,ibuprofen;fda;label
98,What should I know about IBUPROFEN before taking it?,General,ibuprofen;fda;label
99,What should I know about IBUPROFEN before taking it?,General,ibuprofen;fda;label
100,What should I know about IBUPROFEN before taking it?,General,ibuprofen;fda;label
101,What are the warnings for MENTHOL?,Warnings,menthol;fda;label;warnings
102,Should I avoid MENTHOL if I have certain conditions?,Warnings,menthol;fda;label;warnings;contraindications
103,How should I take MENTHOL?,Dosage,menthol;fda;label;dosage
104,What is the recommended dose of MENTHOL?,Dosage,menthol;fda;label;dosage
105,Can I take MENTHOL with food?,Dosage,menthol;fda;label;dosage;food
106,Is MENTHOL safe during pregnancy?,Pregnancy,menthol;fda;label;pregnancy
107,Can I take MENTHOL with alcohol?,Drug Interactions,menthol;fda;label;alcohol;interactions
108,Can I take MENTHOL with my other prescriptions?,Drug Interactions,menthol;fda;label;interactions
109,How do I store MENTHOL?,Storage,menthol;fda;label;storage
110,What if I miss a dose of MENTHOL?,Dosage,menthol;fda;label;missed dose
111,Is MENTHOL safe for children?,Children,menthol;fda;label;children;pediatric
112,Can I take MENTHOL if I have kidney disease?,Special Populations,menthol;fda;label;kidney
113,Can I take MENTHOL if I have liver disease?,Special Populations,menthol;fda;label;liver
114,Does MENTHOL expire? How long can I keep it?,Storage,menthol;fda;label;expiration
115,What should I do if I take too much MENTHOL?,Overdose,menthol;fda;label;overdose
116,What should I know about MENTHOL before taking it?,General,menthol;fda;label
117,What should I know about MENTHOL before taking it?,General,menthol;fda;label
118,What should I know about MENTHOL before taking it?,General,menthol;fda;label
119,What should I know about MENTHOL before taking it?,General,menthol;fda;label
120,What should I know about MENTHOL before taking it?,General,menthol;fda;label
121,What are the warnings for BENZALKONIUM CHLORIDE?,Warnings,benzalkonium chloride;fda;label;warnings
122,Should I avoid BENZALKONIUM CHLORIDE if I have certain conditions?,Warnings,benzalkonium chloride;fda;label;warnings;contraindications
123,How should I take BENZALKONIUM CHLORIDE?,Dosage,benzalkonium chloride;fda;label;dosage
124,What is the recommended dose of BENZALKONIUM CHLORIDE?,Dosage,benzalkonium chloride;fda;label;dosage
125,Can I take BENZALKONIUM CHLORIDE with food?,Dosage,benzalkonium chloride;fda;label;dosage;food
126,Can I take BENZALKONIUM CHLORIDE with alcohol?,Drug Interactions,benzalkonium chloride;fda;label;alcohol;interactions
127,Can I take BENZALKONIUM CHLORIDE with my other prescriptions?,Drug Interactions,benzalkonium chloride;fda;label;interactions
128,How do I store BENZALKONIUM CHLORIDE?,Storage,benzalkonium chloride;fda;label;storage
129,What if I miss a dose of BENZALKONIUM CHLORIDE?,Dosage,benzalkonium chloride;fda;label;missed dose
130,Is BENZALKONIUM CHLORIDE safe for children?,Children,benzalkonium chloride;fda;label;children;pediatric
131,Can I take BENZALKONIUM CHLORIDE if I have kidney disease?,Special Populations,benzalkonium chloride;fda;label;kidney
132,Can I take BENZALKONIUM CHLORIDE if I have liver disease?,Special Populations,benzalkonium chloride;fda;label;liver
133,Does BENZALKONIUM CHLORIDE expire? How long can I keep it?,Storage,benzalkonium chloride;fda;label;expiration
134,What should I do if I take too much BENZALKONIUM CHLORIDE?,Overdose,benzalkonium chloride;fda;label;overdose
135,What should I know about BENZALKONIUM CHLORIDE before taking it?,General,benzalkonium chloride;fda;label
136,What should I know about BENZALKONIUM CHLORIDE before taking it?,General,benzalkonium chloride;fda;label
137,What should I know about BENZALKONIUM CHLORIDE before taking it?,General,benzalkonium chloride;fda;label
138,What should I know about BENZALKONIUM CHLORIDE before taking it?,General,benzalkonium chloride;fda;label
139,What should I know about BENZALKONIUM CHLORIDE before taking it?,General,benzalkonium chloride;fda;label
140,What should I know about BENZALKONIUM CHLORIDE before taking it?,General,benzalkonium chloride;fda;label
141,What are the warnings for SODIUM FLUORIDE?,Warnings,sodium fluoride;fda;label;warnings
142,Should I avoid SODIUM FLUORIDE if I have certain conditions?,Warnings,sodium fluoride;fda;label;warnings;contraindications
143,How should I take SODIUM FLUORIDE?,Dosage,sodium fluoride;fda;label;dosage
144,What is the recommended dose of SODIUM FLUORIDE?,Dosage,sodium fluoride;fda;label;dosage
145,Can I take SODIUM FLUORIDE with food?,Dosage,sodium fluoride;fda;label;dosage;food
146,What are the side effects of SODIUM FLUORIDE?,Adverse Reactions,sodium fluoride;fda;label;side effects
147,Does SODIUM FLUORIDE cause drowsiness?,Adverse Reactions,sodium fluoride;fda;label;drowsiness
148,Can I take SODIUM FLUORIDE with alcohol?,Drug Interactions,sodium fluoride;fda;label;alcohol;interactions
149,Can I take SODIUM FLUORIDE with my other prescriptions?,Drug Interactions,sodium fluoride;fda;label;interactions
150,How do I store SODIUM FLUORIDE?,Storage,sodium fluoride;fda;label;storage
151,What if I miss a dose of SODIUM FLUORIDE?,Dosage,sodium fluoride;fda;label;missed dose
152,Is SODIUM FLUORIDE safe for children?,Children,sodium fluoride;fda;label;children;pediatric
153,Can I take SODIUM FLUORIDE if I have kidney disease?,Special Populations,sodium fluoride;fda;label;kidney
154,Can I take SODIUM FLUORIDE if I have liver disease?,Special Populations,sodium fluoride;fda;label;liver
155,Does SODIUM FLUORIDE expire? How long can I keep it?,Storage,sodium fluoride;fda;label;expiration
156,What should I do if I take too much SODIUM FLUORIDE?,Overdose,sodium fluoride;fda;label;overdose
157,What should I know about SODIUM FLUORIDE before taking it?,General,sodium fluoride;fda;label
158,What should I know about SODIUM FLUORIDE before taking it?,General,sodium fluoride;fda;label
159,What should I know about SODIUM FLUORIDE before taking it?,General,sodium fluoride;fda;label
160,What should I know about SODIUM FLUORIDE before taking it?,General,sodium fluoride;fda;label
161,"What are the warnings for TITANIUM DIOXIDE, ZINC OXIDE?",Warnings,"titanium dioxide, zinc oxide;fda;label;warnings"
162,"Should I avoid TITANIUM DIOXIDE, ZINC OXIDE if I have certain conditions?",Warnings,"titanium dioxide, zinc oxide;fda;label;warnings;contraindications"
163,"How should I take TITANIUM DIOXIDE, ZINC OXIDE?",Dosage,"titanium dioxide, zinc oxide;fda;label;dosage"
164,"What is the recommended dose of TITANIUM DIOXIDE, ZINC OXIDE?",Dosage,"titanium dioxide, zinc oxide;fda;label;dosage"
165,"Can I take TITANIUM DIOXIDE, ZINC OXIDE with food?",Dosage,"titanium dioxide, zinc oxide;fda;label;dosage;food"
166,"Can I take TITANIUM DIOXIDE, ZINC OXIDE with alcohol?",Drug Interactions,"titanium dioxide, zinc oxide;fda;label;alcohol;interactions"
167,"Can I take TITANIUM DIOXIDE, ZINC OXIDE with my other prescriptions?",Drug Interactions,"titanium dioxide, zinc oxide;fda;label;interactions"
168,"How do I store TITANIUM DIOXIDE, ZINC OXIDE?",Storage,"titanium dioxide, zinc oxide;fda;label;storage"
169,"What if I miss a dose of TITANIUM DIOXIDE, ZINC OXIDE?",Dosage,"titanium dioxide, zinc oxide;fda;label;missed dose"
170,"Is TITANIUM DIOXIDE, ZINC OXIDE safe for children?",Children,"titanium dioxide, zinc oxide;fda;label;children;pediatric"
171,"Can I take TITANIUM DIOXIDE, ZINC OXIDE if I have kidney disease?",Special Populations,"titanium dioxide, zinc oxide;fda;label;kidney"
172,"Can I take TITANIUM DIOXIDE, ZINC OXIDE if I have liver disease?",Special Populations,"titanium dioxide, zinc oxide;fda;label;liver"
173,"Does TITANIUM DIOXIDE, ZINC OXIDE expire? How long can I keep it?",Storage,"titanium dioxide, zinc oxide;fda;label;expiration"
174,"What should I do if I take too much TITANIUM DIOXIDE, ZINC OXIDE?",Overdose,"titanium dioxide, zinc oxide;fda;label;overdose"
175,"What should I know about TITANIUM DIOXIDE, ZINC OXIDE before taking it?",General,"titanium dioxide, zinc oxide;fda;label"
176,"What should I know about TITANIUM DIOXIDE, ZINC OXIDE before taking it?",General,"titanium dioxide, zinc oxide;fda;label"
177,"What should I know about TITANIUM DIOXIDE, ZINC OXIDE before taking it?",General,"titanium dioxide, zinc oxide;fda;label"
178,"What should I know about TITANIUM DIOXIDE, ZINC OXIDE before taking it?",General,"titanium dioxide, zinc oxide;fda;label"
179,"What should I know about TITANIUM DIOXIDE, ZINC OXIDE before taking it?",General,"titanium dioxide, zinc oxide;fda;label"
180,"What should I know about TITANIUM DIOXIDE, ZINC OXIDE before taking it?",General,"titanium dioxide, zinc oxide;fda;label"
181,"What are the warnings for AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE?",Warnings,"avobenzone, homosalate, octisalate, octocrylene;fda;label;warnings"
182,"Should I avoid AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE if I have certain conditions?",Warnings,"avobenzone, homosalate, octisalate, octocrylene;fda;label;warnings;contraindications"
183,"How should I take AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE?",Dosage,"avobenzone, homosalate, octisalate, octocrylene;fda;label;dosage"
184,"What is the recommended dose of AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE?",Dosage,"avobenzone, homosalate, octisalate, octocrylene;fda;label;dosage"
185,"Can I take AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE with food?",Dosage,"avobenzone, homosalate, octisalate, octocrylene;fda;label;dosage;food"
186,"Can I take AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE with alcohol?",Drug Interactions,"avobenzone, homosalate, octisalate, octocrylene;fda;label;alcohol;interactions"
187,"Can I take AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE with my other prescriptions?",Drug Interactions,"avobenzone, homosalate, octisalate, octocrylene;fda;label;interactions"
188,"How do I store AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE?",Storage,"avobenzone, homosalate, octisalate, octocrylene;fda;label;storage"
189,"What if I miss a dose of AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE?",Dosage,"avobenzone, homosalate, octisalate, octocrylene;fda;label;missed dose"
190,"Is AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE safe for children?",Children,"avobenzone, homosalate, octisalate, octocrylene;fda;label;children;pediatric"
191,"Can I take AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE if I have kidney disease?",Special Populations,"avobenzone, homosalate, octisalate, octocrylene;fda;label;kidney"
192,"Can I take AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE if I have liver disease?",Special Populations,"avobenzone, homosalate, octisalate, octocrylene;fda;label;liver"
193,"Does AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE expire? How long can I keep it?",Storage,"avobenzone, homosalate, octisalate, octocrylene;fda;label;expiration"
194,"What should I do if I take too much AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE?",Overdose,"avobenzone, homosalate, octisalate, octocrylene;fda;label;overdose"
195,"What should I know about AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE before taking it?",General,"avobenzone, homosalate, octisalate, octocrylene;fda;label"
196,"What should I know about AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE before taking it?",General,"avobenzone, homosalate, octisalate, octocrylene;fda;label"
197,"What should I know about AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE before taking it?",General,"avobenzone, homosalate, octisalate, octocrylene;fda;label"
198,"What should I know about AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE before taking it?",General,"avobenzone, homosalate, octisalate, octocrylene;fda;label"
199,"What should I know about AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE before taking it?",General,"avobenzone, homosalate, octisalate, octocrylene;fda;label"
200,"What should I know about AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE before taking it?",General,"avobenzone, homosalate, octisalate, octocrylene;fda;label"
201,What are the warnings for ETHYL ALCOHOL?,Warnings,ethyl alcohol;fda;label;warnings
202,Should I avoid ETHYL ALCOHOL if I have certain conditions?,Warnings,ethyl alcohol;fda;label;warnings;contraindications
203,How should I take ETHYL ALCOHOL?,Dosage,ethyl alcohol;fda;label;dosage
204,What is the recommended dose of ETHYL ALCOHOL?,Dosage,ethyl alcohol;fda;label;dosage
205,Can I take ETHYL ALCOHOL with food?,Dosage,ethyl alcohol;fda;label;dosage;food
206,Can I take ETHYL ALCOHOL with alcohol?,Drug Interactions,ethyl alcohol;fda;label;alcohol;interactions
207,Can I take ETHYL ALCOHOL with my other prescriptions?,Drug Interactions,ethyl alcohol;fda;label;interactions
208,How do I store ETHYL ALCOHOL?,Storage,ethyl alcohol;fda;label;storage
209,What if I miss a dose of ETHYL ALCOHOL?,Dosage,ethyl alcohol;fda;label;missed dose
210,Is ETHYL ALCOHOL safe for children?,Children,ethyl alcohol;fda;label;children;pediatric
211,Can I take ETHYL ALCOHOL if I have kidney disease?,Special Populations,ethyl alcohol;fda;label;kidney
212,Can I take ETHYL ALCOHOL if I have liver disease?,Special Populations,ethyl alcohol;fda;label;liver
213,Does ETHYL ALCOHOL expire? How long can I keep it?,Storage,ethyl alcohol;fda;label;expiration
214,What should I do if I take too much ETHYL ALCOHOL?,Overdose,ethyl alcohol;fda;label;overdose
215,What should I know about ETHYL ALCOHOL before taking it?,General,ethyl alcohol;fda;label
216,What should I know about ETHYL ALCOHOL before taking it?,General,ethyl alcohol;fda;label
217,What should I know about ETHYL ALCOHOL before taking it?,General,ethyl alcohol;fda;label
218,What should I know about ETHYL ALCOHOL before taking it?,General,ethyl alcohol;fda;label
219,What should I know about ETHYL ALCOHOL before taking it?,General,ethyl alcohol;fda;label
220,What should I know about ETHYL ALCOHOL before taking it?,General,ethyl alcohol;fda;label
221,What are the warnings for ISOPROPYL ALCOHOL?,Warnings,isopropyl alcohol;fda;label;warnings
222,Should I avoid ISOPROPYL ALCOHOL if I have certain conditions?,Warnings,isopropyl alcohol;fda;label;warnings;contraindications
223,How should I take ISOPROPYL ALCOHOL?,Dosage,isopropyl alcohol;fda;label;dosage
224,What is the recommended dose of ISOPROPYL ALCOHOL?,Dosage,isopropyl alcohol;fda;label;dosage
225,Can I take ISOPROPYL ALCOHOL with food?,Dosage,isopropyl alcohol;fda;label;dosage;food
226,Can I take ISOPROPYL ALCOHOL with alcohol?,Drug Interactions,isopropyl alcohol;fda;label;alcohol;interactions
227,Can I take ISOPROPYL ALCOHOL with my other prescriptions?,Drug Interactions,isopropyl alcohol;fda;label;interactions
228,How do I store ISOPROPYL ALCOHOL?,Storage,isopropyl alcohol;fda;label;storage
229,What if I miss a dose of ISOPROPYL ALCOHOL?,Dosage,isopropyl alcohol;fda;label;missed dose
230,Is ISOPROPYL ALCOHOL safe for children?,Children,isopropyl alcohol;fda;label;children;pediatric
231,Can I take ISOPROPYL ALCOHOL if I have kidney disease?,Special Populations,isopropyl alcohol;fda;label;kidney
232,Can I take ISOPROPYL ALCOHOL if I have liver disease?,Special Populations,isopropyl alcohol;fda;label;liver
233,Does ISOPROPYL ALCOHOL expire? How long can I keep it?,Storage,isopropyl alcohol;fda;label;expiration
234,What should I do if I take too much ISOPROPYL ALCOHOL?,Overdose,isopropyl alcohol;fda;label;overdose
235,What should I know about ISOPROPYL ALCOHOL before taking it?,General,isopropyl alcohol;fda;label
236,What should I know about ISOPROPYL ALCOHOL before taking it?,General,isopropyl alcohol;fda;label
237,What should I know about ISOPROPYL ALCOHOL before taking it?,General,isopropyl alcohol;fda;label
238,What should I know about ISOPROPYL ALCOHOL before taking it?,General,isopropyl alcohol;fda;label
239,What should I know about ISOPROPYL ALCOHOL before taking it?,General,isopropyl alcohol;fda;label
240,What should I know about ISOPROPYL ALCOHOL before taking it?,General,isopropyl alcohol;fda;label
241,What are the warnings for NICOTINE POLACRILEX?,Warnings,nicotine polacrilex;fda;label;warnings
242,Should I avoid NICOTINE POLACRILEX if I have certain conditions?,Warnings,nicotine polacrilex;fda;label;warnings;contraindications
243,How should I take NICOTINE POLACRILEX?,Dosage,nicotine polacrilex;fda;label;dosage
244,What is the recommended dose of NICOTINE POLACRILEX?,Dosage,nicotine polacrilex;fda;label;dosage
245,Can I take NICOTINE POLACRILEX with food?,Dosage,nicotine polacrilex;fda;label;dosage;food
246,Can I take NICOTINE POLACRILEX with alcohol?,Drug Interactions,nicotine polacrilex;fda;label;alcohol;interactions
247,Can I take NICOTINE POLACRILEX with my other prescriptions?,Drug Interactions,nicotine polacrilex;fda;label;interactions
248,How do I store NICOTINE POLACRILEX?,Storage,nicotine polacrilex;fda;label;storage
249,What if I miss a dose of NICOTINE POLACRILEX?,Dosage,nicotine polacrilex;fda;label;missed dose
250,Is NICOTINE POLACRILEX safe for children?,Children,nicotine polacrilex;fda;label;children;pediatric
251,Can I take NICOTINE POLACRILEX if I have kidney disease?,Special Populations,nicotine polacrilex;fda;label;kidney
252,Can I take NICOTINE POLACRILEX if I have liver disease?,Special Populations,nicotine polacrilex;fda;label;liver
253,Does NICOTINE POLACRILEX expire? How long can I keep it?,Storage,nicotine polacrilex;fda;label;expiration
254,What should I do if I take too much NICOTINE POLACRILEX?,Overdose,nicotine polacrilex;fda;label;overdose
255,What should I know about NICOTINE POLACRILEX before taking it?,General,nicotine polacrilex;fda;label
256,What should I know about NICOTINE POLACRILEX before taking it?,General,nicotine polacrilex;fda;label
257,What should I know about NICOTINE POLACRILEX before taking it?,General,nicotine polacrilex;fda;label
258,What should I know about NICOTINE POLACRILEX before taking it?,General,nicotine polacrilex;fda;label
259,What should I know about NICOTINE POLACRILEX before taking it?,General,nicotine polacrilex;fda;label
260,What should I know about NICOTINE POLACRILEX before taking it?,General,nicotine polacrilex;fda;label
261,What are the warnings for LIDOCAINE?,Warnings,lidocaine;fda;label;warnings
262,Should I avoid LIDOCAINE if I have certain conditions?,Warnings,lidocaine;fda;label;warnings;contraindications
263,How should I take LIDOCAINE?,Dosage,lidocaine;fda;label;dosage
264,What is the recommended dose of LIDOCAINE?,Dosage,lidocaine;fda;label;dosage
265,Can I take LIDOCAINE with food?,Dosage,lidocaine;fda;label;dosage;food
266,Is LIDOCAINE safe during pregnancy?,Pregnancy,lidocaine;fda;label;pregnancy
267,Can I take LIDOCAINE with alcohol?,Drug Interactions,lidocaine;fda;label;alcohol;interactions
268,Can I take LIDOCAINE with my other prescriptions?,Drug Interactions,lidocaine;fda;label;interactions
269,How do I store LIDOCAINE?,Storage,lidocaine;fda;label;storage
270,What if I miss a dose of LIDOCAINE?,Dosage,lidocaine;fda;label;missed dose
271,Is LIDOCAINE safe for children?,Children,lidocaine;fda;label;children;pediatric
272,Can I take LIDOCAINE if I have kidney disease?,Special Populations,lidocaine;fda;label;kidney
273,Can I take LIDOCAINE if I have liver disease?,Special Populations,lidocaine;fda;label;liver
274,Does LIDOCAINE expire? How long can I keep it?,Storage,lidocaine;fda;label;expiration
275,What should I do if I take too much LIDOCAINE?,Overdose,lidocaine;fda;label;overdose
276,What should I know about LIDOCAINE before taking it?,General,lidocaine;fda;label
277,What should I know about LIDOCAINE before taking it?,General,lidocaine;fda;label
278,What should I know about LIDOCAINE before taking it?,General,lidocaine;fda;label
279,What should I know about LIDOCAINE before taking it?,General,lidocaine;fda;label
280,What should I know about LIDOCAINE before taking it?,General,lidocaine;fda;label
281,What are the warnings for CALCIUM CARBONATE?,Warnings,calcium carbonate;fda;label;warnings
282,Should I avoid CALCIUM CARBONATE if I have certain conditions?,Warnings,calcium carbonate;fda;label;warnings;contraindications
283,How should I take CALCIUM CARBONATE?,Dosage,calcium carbonate;fda;label;dosage
284,What is the recommended dose of CALCIUM CARBONATE?,Dosage,calcium carbonate;fda;label;dosage
285,Can I take CALCIUM CARBONATE with food?,Dosage,calcium carbonate;fda;label;dosage;food
286,Can I take CALCIUM CARBONATE with alcohol?,Drug Interactions,calcium carbonate;fda;label;alcohol;interactions
